# bench paper row mt trials=5 ms=40 f64 ids=15-24
# paper row mt f64 beta=0 online=1 x4=1 heap=1 model=1 shape=0 cdirect=2 pack4=1 pf=7 threads=1
15  4096 32768   512    292  err/sqrtK=0.0e+00  peak=337 eff=0.868
16  4096  7168 16384    295  err/sqrtK=0.0e+00  peak=349 eff=0.847
17  4096  4096  7168    283  err/sqrtK=0.0e+00  peak=348 eff=0.812
18  4096  7168  2048    293  err/sqrtK=0.0e+00  peak=329 eff=0.891
19  4096   256  4096    260  err/sqrtK=0.0e+00  peak=337 eff=0.771
20 11008   256  4096    261  err/sqrtK=0.0e+00  peak=334 eff=0.782
21  4096   256 11008    241  err/sqrtK=0.0e+00  peak=349 eff=0.690
22  5120   256  5120    259  err/sqrtK=0.0e+00  peak=348 eff=0.743
23 13824   256  5120    256  err/sqrtK=0.0e+00  peak=348 eff=0.736
24  5120   256 13824    260  err/sqrtK=0.0e+00  peak=329 eff=0.791
