# bench paper row accel trials=3 ms=30 ids=13-24
# paper row accel f32 beta=0
13  4096  2112  7168    890  peak=1529 eff=0.582
14  4096 24576  1536    892  peak=1519 eff=0.587
15  4096 32768   512    899  peak=1455 eff=0.617
16  4096  7168 16384    881  peak=1519 eff=0.580
17  4096  4096  7168    837  peak=1460 eff=0.573
18  4096  7168  2048    882  peak=1447 eff=0.609
19  4096   256  4096    749  peak=1528 eff=0.490
20 11008   256  4096    780  peak=1615 eff=0.483
21  4096   256 11008    774  peak=1640 eff=0.472
22  5120   256  5120    835  peak=1633 eff=0.511
23 13824   256  5120    796  peak=1640 eff=0.485
24  5120   256 13824    751  peak=1577 eff=0.476
