# bench paper row accel trials=5 ms=40 f64
# paper row accel f64 beta=0
 1    64  2112  7168    197  peak=397 eff=0.496
 2    64 24576  1536    107  peak=409 eff=0.262
 3    64 32768   512     89  peak=410 eff=0.217
 4    64  7168 16384    107  peak=408 eff=0.263
 5    64  4096  7168    104  peak=410 eff=0.255
 6    64  7168  2048    127  peak=409 eff=0.310
 7   128  2112  7168    215  peak=395 eff=0.544
 8   128 24576  1536    164  peak=410 eff=0.401
 9   128 32768   512    141  peak=408 eff=0.345
10   128  7168 16384    153  peak=409 eff=0.374
11   128  4096  7168    158  peak=409 eff=0.387
12   128  7168  2048    183  peak=410 eff=0.447
13  4096  2112  7168    235  peak=382 eff=0.614
14  4096 24576  1536    231  peak=366 eff=0.631
15  4096 32768   512    235  peak=364 eff=0.644
16  4096  7168 16384    261  peak=348 eff=0.748
17  4096  4096  7168    270  peak=367 eff=0.737
18  4096  7168  2048    273  peak=348 eff=0.784
19  4096   256  4096    225  peak=349 eff=0.646
20 11008   256  4096    235  peak=367 eff=0.642
21  4096   256 11008    260  peak=365 eff=0.713
22  5120   256  5120    246  peak=367 eff=0.669
23 13824   256  5120    246  peak=367 eff=0.671
24  5120   256 13824    255  peak=367 eff=0.695
