# bench paper row accel trials=3 ms=30 ids=1-12
# paper row accel f32 beta=0
 1    64  2112  7168    602  peak=1627 eff=0.370
 2    64 24576  1536    250  peak=1639 eff=0.153
 3    64 32768   512    217  peak=1636 eff=0.133
 4    64  7168 16384    372  peak=1632 eff=0.228
 5    64  4096  7168    245  peak=1637 eff=0.150
 6    64  7168  2048    396  peak=1637 eff=0.242
 7   128  2112  7168    855  peak=1632 eff=0.524
 8   128 24576  1536    425  peak=1637 eff=0.260
 9   128 32768   512    377  peak=1637 eff=0.230
10   128  7168 16384    473  peak=1631 eff=0.290
11   128  4096  7168    416  peak=1638 eff=0.254
12   128  7168  2048    611  peak=1631 eff=0.374
