# 2026-09-22 23:26:14 load before: { 2.16 3.15 3.00 } VECLIB_MAXIMUM_THREADS=1
# all col accel f32 beta=1
 0   512   512   512   1772
 0  1000  1000  1000   1762
 0  1024  1024  1024   1649
 0  2048  2048  2048   1569
 0  3000  3000  3000   1523
 0  4096  4096  4096   1540
 1    64  2112  7168    921
 2    64 24576  1536   1022
 3    64 32768   512    887
 4    64  7168 16384    885
 5    64  4096  7168    900
 6    64  7168  2048   1005
 7   128  2112  7168   1237
 8   128 24576  1536   1258
 9   128 32768   512   1087
10   128  7168 16384   1156
11   128  4096  7168   1194
12   128  7168  2048   1231
13  4096  2112  7168   1466
14  4096 24576  1536   1485
15  4096 32768   512   1334
16  4096  7168 16384   1524
17  4096  4096  7168   1485
18  4096  7168  2048   1556
19  4096   256  4096   1216
20 11008   256  4096   1431
21  4096   256 11008   1152
22  5120   256  5120   1175
23 13824   256  5120   1333
24  5120   256 13824   1185
# load after: { 2.11 3.08 2.98 }
