# 2026-09-22 23:26:33 load before: { 2.11 3.08 2.98 } VECLIB_MAXIMUM_THREADS=1
# all row accel f32 beta=0
 0   512   512   512   1803
 0  1000  1000  1000   1812
 0  1024  1024  1024   1696
 0  2048  2048  2048   1645
 0  3000  3000  3000   1588
 0  4096  4096  4096   1591
 1    64  2112  7168   1199
 2    64 24576  1536    623
 3    64 32768   512    605
 4    64  7168 16384    640
 5    64  4096  7168    629
 6    64  7168  2048    668
 7   128  2112  7168   1434
 8   128 24576  1536    941
 9   128 32768   512    914
10   128  7168 16384    913
11   128  4096  7168    917
12   128  7168  2048    981
13  4096  2112  7168   1597
14  4096 24576  1536   1669
15  4096 32768   512   1597
16  4096  7168 16384   1524
17  4096  4096  7168   1528
18  4096  7168  2048   1659
19  4096   256  4096   1410
20 11008   256  4096   1416
21  4096   256 11008   1448
22  5120   256  5120   1419
23 13824   256  5120   1412
24  5120   256 13824   1425
# load after: { 1.94 2.99 2.95 }
