# 2026-09-23 00:01:46 load before: { 3.22 2.33 1.92 } VECLIB_MAXIMUM_THREADS=1
# all col eigen f32 beta=1 threads=1
 0   512   512   512   1649  err/sqrtK=2.5e-07
 0  1000  1000  1000   1638  err/sqrtK=2.4e-07
 0  1024  1024  1024   1525  err/sqrtK=2.4e-07
 0  2048  2048  2048   1447  err/sqrtK=3.4e-07
 0  3000  3000  3000   1638  err/sqrtK=3.9e-06
 0  4096  4096  4096   1643  err/sqrtK=6.3e-06
 1    64  2112  7168    534  err/sqrtK=5.1e-06
 2    64 24576  1536    569  err/sqrtK=2.4e-07
 3    64 32768   512    523  err/sqrtK=2.5e-07
 4    64  7168 16384    448  err/sqrtK=7.7e-06
 5    64  4096  7168    478  err/sqrtK=5.9e-06
 6    64  7168  2048    623  err/sqrtK=2.5e-07
 7   128  2112  7168    826  err/sqrtK=5.4e-06
 8   128 24576  1536    906  err/sqrtK=2.9e-07
 9   128 32768   512    785  err/sqrtK=2.5e-07
10   128  7168 16384    725  err/sqrtK=9.2e-06
11   128  4096  7168    770  err/sqrtK=6.8e-06
12   128  7168  2048    960  err/sqrtK=3.4e-07
13  4096  2112  7168   1527  err/sqrtK=7.4e-06
14  4096 24576  1536   1579  err/sqrtK=4.4e-07
15  4096 32768   512   1405  err/sqrtK=3.4e-07
16  4096  7168 16384   1568  err/sqrtK=1.2e-05
17  4096  4096  7168   1572  err/sqrtK=7.3e-06
18  4096  7168  2048   1582  err/sqrtK=4.2e-07
19  4096   256  4096   1020  err/sqrtK=4.5e-06
20 11008   256  4096   1258  err/sqrtK=4.5e-06
21  4096   256 11008   1023  err/sqrtK=7.8e-06
22  5120   256  5120   1155  err/sqrtK=5.1e-06
23 13824   256  5120   1229  err/sqrtK=5.5e-06
24  5120   256 13824   1158  err/sqrtK=9.2e-06
# load after: { 2.95 2.32 1.93 }
