# 2026-09-23 00:02:09 load before: { 2.95 2.32 1.93 } VECLIB_MAXIMUM_THREADS=1
# all row eigen f32 beta=0 threads=1
 0   512   512   512   1611  err/sqrtK=0.0e+00
 0  1000  1000  1000   1627  err/sqrtK=0.0e+00
 0  1024  1024  1024   1481  err/sqrtK=0.0e+00
 0  2048  2048  2048   1460  err/sqrtK=0.0e+00
 0  3000  3000  3000   1634  err/sqrtK=3.8e-06
 0  4096  4096  4096   1633  err/sqrtK=6.0e-06
 1    64  2112  7168    839  err/sqrtK=6.0e-06
 2    64 24576  1536    462  err/sqrtK=0.0e+00
 3    64 32768   512    490  err/sqrtK=0.0e+00
 4    64  7168 16384    577  err/sqrtK=1.0e-05
 5    64  4096  7168    457  err/sqrtK=5.3e-06
 6    64  7168  2048    585  err/sqrtK=0.0e+00
 7   128  2112  7168   1131  err/sqrtK=6.0e-06
 8   128 24576  1536    717  err/sqrtK=0.0e+00
 9   128 32768   512    711  err/sqrtK=0.0e+00
10   128  7168 16384    858  err/sqrtK=7.3e-06
11   128  4096  7168    727  err/sqrtK=6.7e-06
12   128  7168  2048    869  err/sqrtK=0.0e+00
13  4096  2112  7168   1559  err/sqrtK=8.7e-06
14  4096 24576  1536   1553  err/sqrtK=0.0e+00
15  4096 32768   512   1321  err/sqrtK=0.0e+00
16  4096  7168 16384   1586  err/sqrtK=1.1e-05
17  4096  4096  7168   1586  err/sqrtK=7.2e-06
18  4096  7168  2048   1583  err/sqrtK=0.0e+00
19  4096   256  4096   1178  err/sqrtK=4.1e-06
20 11008   256  4096   1168  err/sqrtK=5.1e-06
21  4096   256 11008   1079  err/sqrtK=6.7e-06
22  5120   256  5120   1100  err/sqrtK=5.4e-06
23 13824   256  5120   1093  err/sqrtK=5.8e-06
24  5120   256 13824   1096  err/sqrtK=9.6e-06
# load after: { 2.59 2.29 1.93 }
