# 2026-09-22 23:06:06 load before: { 2.30 2.36 2.84 } VECLIB_MAXIMUM_THREADS=default
# all col accel f32 beta=1
 0   512   512   512   2631
 0  1000  1000  1000   3392
 0  1024  1024  1024   2910
 0  2048  2048  2048   3173
 0  3000  3000  3000   3080
 0  4096  4096  4096   2743
 1    64  2112  7168   1753
 2    64 24576  1536   2118
 3    64 32768   512   1789
 4    64  7168 16384   1897
 5    64  4096  7168   1926
 6    64  7168  2048   1966
 7   128  2112  7168   2593
 8   128 24576  1536   2651
 9   128 32768   512   2253
10   128  7168 16384   2510
11   128  4096  7168   2595
12   128  7168  2048   2627
13  4096  2112  7168   2761
14  4096 24576  1536   3226
15  4096 32768   512   2721
16  4096  7168 16384   3285
17  4096  4096  7168   3137
18  4096  7168  2048   3074
19  4096   256  4096   2267
20 11008   256  4096   2812
21  4096   256 11008   2446
22  5120   256  5120   2565
23 13824   256  5120   2800
24  5120   256 13824   2499
# load after: { 2.75 2.45 2.87 }
