# 2026-09-22 23:05:14 load before: { 1.68 2.28 2.85 } VECLIB_MAXIMUM_THREADS=default
# all row accel f32 beta=0
 0   512   512   512   2840
 0  1000  1000  1000   3592
 0  1024  1024  1024   3157
 0  2048  2048  2048   3426
 0  3000  3000  3000   3127
 0  4096  4096  4096   2859
 1    64  2112  7168   2195
 2    64 24576  1536   1342
 3    64 32768   512   1376
 4    64  7168 16384   1320
 5    64  4096  7168   1343
 6    64  7168  2048   1334
 7   128  2112  7168   2880
 8   128 24576  1536   2003
 9   128 32768   512   1986
10   128  7168 16384   1941
11   128  4096  7168   1967
12   128  7168  2048   2117
13  4096  2112  7168   2991
14  4096 24576  1536   3676
15  4096 32768   512   3491
16  4096  7168 16384   3231
17  4096  4096  7168   3209
18  4096  7168  2048   3262
19  4096   256  4096   3039
20 11008   256  4096   3063
21  4096   256 11008   3167
22  5120   256  5120   3072
23 13824   256  5120   3041
24  5120   256 13824   3106
# load after: { 1.94 2.31 2.85 }
