# 2026-09-22 22:46:16 load before: { 3.13 3.20 3.65 } VECLIB_MAXIMUM_THREADS=1
# all col accel f32 beta=1
 0   512   512   512   1767
 0  1000  1000  1000   1739
 0  1024  1024  1024   1590
 0  2048  2048  2048   1596
 0  3000  3000  3000   1509
 0  4096  4096  4096   1512
 1    64  2112  7168    921
 2    64 24576  1536   1041
 3    64 32768   512    883
 4    64  7168 16384    884
 5    64  4096  7168    902
 6    64  7168  2048   1005
 7   128  2112  7168   1239
 8   128 24576  1536   1230
 9   128 32768   512   1089
10   128  7168 16384   1169
11   128  4096  7168   1184
12   128  7168  2048   1233
13  4096  2112  7168   1444
14  4096 24576  1536   1433
15  4096 32768   512   1373
16  4096  7168 16384   1498
17  4096  4096  7168   1470
18  4096  7168  2048   1516
19  4096   256  4096   1194
20 11008   256  4096   1413
21  4096   256 11008   1157
22  5120   256  5120   1169
23 13824   256  5120   1326
24  5120   256 13824   1188
# load after: { 2.72 3.10 3.61 }
