# 2026-09-22 22:45:14 load before: { 3.14 3.29 3.72 } VECLIB_MAXIMUM_THREADS=1
# all row accel f32 beta=0
 0   512   512   512   1815
 0  1000  1000  1000   1855
 0  1024  1024  1024   1688
 0  2048  2048  2048   1697
 0  3000  3000  3000   1600
 0  4096  4096  4096   1605
 1    64  2112  7168   1194
 2    64 24576  1536    637
 3    64 32768   512    634
 4    64  7168 16384    641
 5    64  4096  7168    629
 6    64  7168  2048    666
 7   128  2112  7168   1435
 8   128 24576  1536    944
 9   128 32768   512    925
10   128  7168 16384    919
11   128  4096  7168    926
12   128  7168  2048    982
13  4096  2112  7168   1597
14  4096 24576  1536   1675
15  4096 32768   512   1608
16  4096  7168 16384   1518
17  4096  4096  7168   1530
18  4096  7168  2048   1663
19  4096   256  4096   1413
20 11008   256  4096   1409
21  4096   256 11008   1441
22  5120   256  5120   1399
23 13824   256  5120   1405
24  5120   256 13824   1405
# load after: { 2.67 3.17 3.67 }
