# 2026-09-22 23:09:57 load before: { 3.71 3.26 3.12 } VECLIB_MAXIMUM_THREADS=default
# paper row accel f64 beta=0
 1    64  2112  7168    658
 2    64 24576  1536    459
 3    64 32768   512    436
 4    64  7168 16384    469
 5    64  4096  7168    445
 6    64  7168  2048    481
 7   128  2112  7168    778
 8   128 24576  1536    598
 9   128 32768   512    563
10   128  7168 16384    614
11   128  4096  7168    585
12   128  7168  2048    617
13  4096  2112  7168    846
14  4096 24576  1536    842
15  4096 32768   512    832
16  4096  7168 16384    825
17  4096  4096  7168    841
18  4096  7168  2048    791
19  4096   256  4096    845
20 11008   256  4096    853
21  4096   256 11008    790
22  5120   256  5120    837
23 13824   256  5120    842
24  5120   256 13824    828
# load after: { 3.90 3.33 3.15 }
