# 2026-09-22 23:06:25 load before: { 2.61 2.43 2.86 } VECLIB_MAXIMUM_THREADS=1
# paper row accel f64 beta=0
 1    64  2112  7168    319
 2    64 24576  1536    216
 3    64 32768   512    206
 4    64  7168 16384    221
 5    64  4096  7168    222
 6    64  7168  2048    225
 7   128  2112  7168    367
 8   128 24576  1536    279
 9   128 32768   512    262
10   128  7168 16384    292
11   128  4096  7168    292
12   128  7168  2048    291
13  4096  2112  7168    391
14  4096 24576  1536    383
15  4096 32768   512    383
16  4096  7168 16384    386
17  4096  4096  7168    390
18  4096  7168  2048    398
19  4096   256  4096    393
20 11008   256  4096    397
21  4096   256 11008    394
22  5120   256  5120    392
23 13824   256  5120    394
24  5120   256 13824    389
# load after: { 1.97 2.29 2.79 }
