figure,series,id,gflops
singlerowmajor,OpenBLAS,1,484
singlerowmajor,KleidiAI,1,334
singlerowmajor,Accelerate,1,1177
singlerowmajor,MpGEMM,1,1169
singlerowmajor,OpenBLAS,2,425
singlerowmajor,KleidiAI,2,270
singlerowmajor,Accelerate,2,644
singlerowmajor,MpGEMM,2,915
singlerowmajor,OpenBLAS,3,370
singlerowmajor,KleidiAI,3,317
singlerowmajor,Accelerate,3,637
singlerowmajor,MpGEMM,3,918
singlerowmajor,OpenBLAS,4,457
singlerowmajor,KleidiAI,4,263
singlerowmajor,Accelerate,4,643
singlerowmajor,MpGEMM,4,985
singlerowmajor,OpenBLAS,5,422
singlerowmajor,KleidiAI,5,327
singlerowmajor,Accelerate,5,620
singlerowmajor,MpGEMM,5,1009
singlerowmajor,OpenBLAS,6,432
singlerowmajor,KleidiAI,6,346
singlerowmajor,Accelerate,6,657
singlerowmajor,MpGEMM,6,973
singlerowmajor,OpenBLAS,7,502
singlerowmajor,KleidiAI,7,509
singlerowmajor,Accelerate,7,1369
singlerowmajor,MpGEMM,7,1437
singlerowmajor,OpenBLAS,8,423
singlerowmajor,KleidiAI,8,429
singlerowmajor,Accelerate,8,961
singlerowmajor,MpGEMM,8,1162
singlerowmajor,OpenBLAS,9,368
singlerowmajor,KleidiAI,9,462
singlerowmajor,Accelerate,9,924
singlerowmajor,MpGEMM,9,1203
singlerowmajor,OpenBLAS,10,449
singlerowmajor,KleidiAI,10,417
singlerowmajor,Accelerate,10,904
singlerowmajor,MpGEMM,10,1239
singlerowmajor,OpenBLAS,11,418
singlerowmajor,KleidiAI,11,501
singlerowmajor,Accelerate,11,910
singlerowmajor,MpGEMM,11,1292
singlerowmajor,OpenBLAS,12,440
singlerowmajor,KleidiAI,12,523
singlerowmajor,Accelerate,12,936
singlerowmajor,MpGEMM,12,1233
singlerowmajor,OpenBLAS,13,533
singlerowmajor,KleidiAI,13,1040
singlerowmajor,Accelerate,13,1523
singlerowmajor,MpGEMM,13,1678
singlerowmajor,OpenBLAS,14,422
singlerowmajor,KleidiAI,14,987
singlerowmajor,Accelerate,14,1547
singlerowmajor,MpGEMM,14,1514
singlerowmajor,OpenBLAS,15,368
singlerowmajor,KleidiAI,15,848
singlerowmajor,Accelerate,15,1594
singlerowmajor,MpGEMM,15,1610
singlerowmajor,OpenBLAS,16,453
singlerowmajor,KleidiAI,16,1057
singlerowmajor,Accelerate,16,1478
singlerowmajor,MpGEMM,16,1487
singlerowmajor,OpenBLAS,17,424
singlerowmajor,KleidiAI,17,1049
singlerowmajor,Accelerate,17,1480
singlerowmajor,MpGEMM,17,1610
singlerowmajor,OpenBLAS,18,467
singlerowmajor,KleidiAI,18,1047
singlerowmajor,Accelerate,18,1672
singlerowmajor,MpGEMM,18,1567
singlerowmajor,OpenBLAS,19,672
singlerowmajor,KleidiAI,19,839
singlerowmajor,Accelerate,19,1297
singlerowmajor,MpGEMM,19,1543
singlerowmajor,OpenBLAS,20,611
singlerowmajor,KleidiAI,20,679
singlerowmajor,Accelerate,20,1294
singlerowmajor,MpGEMM,20,1517
singlerowmajor,OpenBLAS,21,475
singlerowmajor,KleidiAI,21,615
singlerowmajor,Accelerate,21,1317
singlerowmajor,MpGEMM,21,1567
singlerowmajor,OpenBLAS,22,637
singlerowmajor,KleidiAI,22,808
singlerowmajor,Accelerate,22,1277
singlerowmajor,MpGEMM,22,1577
singlerowmajor,OpenBLAS,23,565
singlerowmajor,KleidiAI,23,684
singlerowmajor,Accelerate,23,1284
singlerowmajor,MpGEMM,23,1571
singlerowmajor,OpenBLAS,24,465
singlerowmajor,KleidiAI,24,584
singlerowmajor,Accelerate,24,1311
singlerowmajor,MpGEMM,24,1531
singlerowmajor,OpenBLAS,geo,464
singlerowmajor,KleidiAI,geo,564
singlerowmajor,Accelerate,geo,1089
singlerowmajor,MpGEMM,geo,1321
singlecolmajor,LIBXSMM,1,630
singlecolmajor,Accelerate,1,738
singlecolmajor,MpGEMM,1,1041
singlecolmajor,LIBXSMM,2,836
singlecolmajor,Accelerate,2,802
singlecolmajor,MpGEMM,2,1036
singlecolmajor,LIBXSMM,3,851
singlecolmajor,Accelerate,3,733
singlecolmajor,MpGEMM,3,918
singlecolmajor,LIBXSMM,4,576
singlecolmajor,Accelerate,4,727
singlecolmajor,MpGEMM,4,1028
singlecolmajor,LIBXSMM,5,629
singlecolmajor,Accelerate,5,731
singlecolmajor,MpGEMM,5,1043
singlecolmajor,LIBXSMM,6,632
singlecolmajor,Accelerate,6,853
singlecolmajor,MpGEMM,6,1049
singlecolmajor,LIBXSMM,7,944
singlecolmajor,Accelerate,7,1050
singlecolmajor,MpGEMM,7,1319
singlecolmajor,LIBXSMM,8,1105
singlecolmajor,Accelerate,8,1067
singlecolmajor,MpGEMM,8,1308
singlecolmajor,LIBXSMM,9,1072
singlecolmajor,Accelerate,9,979
singlecolmajor,MpGEMM,9,1109
singlecolmajor,LIBXSMM,10,782
singlecolmajor,Accelerate,10,1010
singlecolmajor,MpGEMM,10,1302
singlecolmajor,LIBXSMM,11,946
singlecolmajor,Accelerate,11,1023
singlecolmajor,MpGEMM,11,1321
singlecolmajor,LIBXSMM,12,929
singlecolmajor,Accelerate,12,1097
singlecolmajor,MpGEMM,12,1332
singlecolmajor,LIBXSMM,13,462
singlecolmajor,Accelerate,13,1429
singlecolmajor,MpGEMM,13,1444
singlecolmajor,LIBXSMM,14,607
singlecolmajor,Accelerate,14,1355
singlecolmajor,MpGEMM,14,1393
singlecolmajor,LIBXSMM,15,1154
singlecolmajor,Accelerate,15,1322
singlecolmajor,MpGEMM,15,1346
singlecolmajor,LIBXSMM,16,463
singlecolmajor,Accelerate,16,1475
singlecolmajor,MpGEMM,16,1500
singlecolmajor,LIBXSMM,17,460
singlecolmajor,Accelerate,17,1442
singlecolmajor,MpGEMM,17,1480
singlecolmajor,LIBXSMM,18,500
singlecolmajor,Accelerate,18,1521
singlecolmajor,MpGEMM,18,1424
singlecolmajor,LIBXSMM,19,452
singlecolmajor,Accelerate,19,1169
singlecolmajor,MpGEMM,19,1490
singlecolmajor,LIBXSMM,20,570
singlecolmajor,Accelerate,20,1420
singlecolmajor,MpGEMM,20,1370
singlecolmajor,LIBXSMM,21,454
singlecolmajor,Accelerate,21,1133
singlecolmajor,MpGEMM,21,1523
singlecolmajor,LIBXSMM,22,469
singlecolmajor,Accelerate,22,1167
singlecolmajor,MpGEMM,22,1460
singlecolmajor,LIBXSMM,23,597
singlecolmajor,Accelerate,23,1356
singlecolmajor,MpGEMM,23,1352
singlecolmajor,LIBXSMM,24,467
singlecolmajor,Accelerate,24,1171
singlecolmajor,MpGEMM,24,1469
singlecolmajor,LIBXSMM,geo,657
singlecolmajor,Accelerate,geo,1085
singlecolmajor,MpGEMM,geo,1280
multirowmajor,Accelerate,1,2272
multirowmajor,MpGEMM,1,2232
multirowmajor,Accelerate,2,1275
multirowmajor,MpGEMM,2,1954
multirowmajor,Accelerate,3,1256
multirowmajor,MpGEMM,3,1829
multirowmajor,Accelerate,4,1292
multirowmajor,MpGEMM,4,2076
multirowmajor,Accelerate,5,1226
multirowmajor,MpGEMM,5,1994
multirowmajor,Accelerate,6,1296
multirowmajor,MpGEMM,6,1906
multirowmajor,Accelerate,7,2673
multirowmajor,MpGEMM,7,2667
multirowmajor,Accelerate,8,1891
multirowmajor,MpGEMM,8,2467
multirowmajor,Accelerate,9,1804
multirowmajor,MpGEMM,9,2364
multirowmajor,Accelerate,10,1783
multirowmajor,MpGEMM,10,2620
multirowmajor,Accelerate,11,1793
multirowmajor,MpGEMM,11,2509
multirowmajor,Accelerate,12,1944
multirowmajor,MpGEMM,12,2436
multirowmajor,Accelerate,13,3018
multirowmajor,MpGEMM,13,3172
multirowmajor,Accelerate,14,3037
multirowmajor,MpGEMM,14,3133
multirowmajor,Accelerate,15,2848
multirowmajor,MpGEMM,15,3175
multirowmajor,Accelerate,16,2956
multirowmajor,MpGEMM,16,3100
multirowmajor,Accelerate,17,2933
multirowmajor,MpGEMM,17,3109
multirowmajor,Accelerate,18,3229
multirowmajor,MpGEMM,18,3175
multirowmajor,Accelerate,19,2480
multirowmajor,MpGEMM,19,2900
multirowmajor,Accelerate,20,2508
multirowmajor,MpGEMM,20,3103
multirowmajor,Accelerate,21,2654
multirowmajor,MpGEMM,21,3201
multirowmajor,Accelerate,22,2530
multirowmajor,MpGEMM,22,3108
multirowmajor,Accelerate,23,2505
multirowmajor,MpGEMM,23,3181
multirowmajor,Accelerate,24,2584
multirowmajor,MpGEMM,24,3220
multirowmajor,Accelerate,geo,2138
multirowmajor,MpGEMM,geo,2646
multicolmajor,Accelerate,1,1423
multicolmajor,MpGEMM,1,2066
multicolmajor,Accelerate,2,1603
multicolmajor,MpGEMM,2,2156
multicolmajor,Accelerate,3,1424
multicolmajor,MpGEMM,3,1812
multicolmajor,Accelerate,4,1440
multicolmajor,MpGEMM,4,2175
multicolmajor,Accelerate,5,1421
multicolmajor,MpGEMM,5,2081
multicolmajor,Accelerate,6,1762
multicolmajor,MpGEMM,6,2079
multicolmajor,Accelerate,7,2064
multicolmajor,MpGEMM,7,2619
multicolmajor,Accelerate,8,2171
multicolmajor,MpGEMM,8,2650
multicolmajor,Accelerate,9,1886
multicolmajor,MpGEMM,9,2201
multicolmajor,Accelerate,10,2016
multicolmajor,MpGEMM,10,2778
multicolmajor,Accelerate,11,2048
multicolmajor,MpGEMM,11,2684
multicolmajor,Accelerate,12,2164
multicolmajor,MpGEMM,12,2624
multicolmajor,Accelerate,13,2804
multicolmajor,MpGEMM,13,2955
multicolmajor,Accelerate,14,2695
multicolmajor,MpGEMM,14,2896
multicolmajor,Accelerate,15,2457
multicolmajor,MpGEMM,15,2644
multicolmajor,Accelerate,16,2948
multicolmajor,MpGEMM,16,3039
multicolmajor,Accelerate,17,2879
multicolmajor,MpGEMM,17,3014
multicolmajor,Accelerate,18,3048
multicolmajor,MpGEMM,18,2963
multicolmajor,Accelerate,19,2261
multicolmajor,MpGEMM,19,2831
multicolmajor,Accelerate,20,2818
multicolmajor,MpGEMM,20,3012
multicolmajor,Accelerate,21,2245
multicolmajor,MpGEMM,21,3004
multicolmajor,Accelerate,22,2349
multicolmajor,MpGEMM,22,2943
multicolmajor,Accelerate,23,2657
multicolmajor,MpGEMM,23,2948
multicolmajor,Accelerate,24,2289
multicolmajor,MpGEMM,24,3042
multicolmajor,Accelerate,geo,2142
multicolmajor,MpGEMM,geo,2604
singlerowmajor-fp64,Accelerate-Serial,1,337
singlerowmajor-fp64,MpGEMM-Serial,1,335
singlerowmajor-fp64,Accelerate-Parallel,1,663
singlerowmajor-fp64,MpGEMM-Parallel,1,639
singlerowmajor-fp64,Accelerate-Serial,2,229
singlerowmajor-fp64,MpGEMM-Serial,2,306
singlerowmajor-fp64,Accelerate-Parallel,2,459
singlerowmajor-fp64,MpGEMM-Parallel,2,653
singlerowmajor-fp64,Accelerate-Serial,3,235
singlerowmajor-fp64,MpGEMM-Serial,3,316
singlerowmajor-fp64,Accelerate-Parallel,3,464
singlerowmajor-fp64,MpGEMM-Parallel,3,635
singlerowmajor-fp64,Accelerate-Serial,4,228
singlerowmajor-fp64,MpGEMM-Serial,4,307
singlerowmajor-fp64,Accelerate-Parallel,4,452
singlerowmajor-fp64,MpGEMM-Parallel,4,693
singlerowmajor-fp64,Accelerate-Serial,5,233
singlerowmajor-fp64,MpGEMM-Serial,5,319
singlerowmajor-fp64,Accelerate-Parallel,5,468
singlerowmajor-fp64,MpGEMM-Parallel,5,649
singlerowmajor-fp64,Accelerate-Serial,6,237
singlerowmajor-fp64,MpGEMM-Serial,6,313
singlerowmajor-fp64,Accelerate-Parallel,6,474
singlerowmajor-fp64,MpGEMM-Parallel,6,608
singlerowmajor-fp64,Accelerate-Serial,7,381
singlerowmajor-fp64,MpGEMM-Serial,7,391
singlerowmajor-fp64,Accelerate-Parallel,7,744
singlerowmajor-fp64,MpGEMM-Parallel,7,732
singlerowmajor-fp64,Accelerate-Serial,8,297
singlerowmajor-fp64,MpGEMM-Serial,8,361
singlerowmajor-fp64,Accelerate-Parallel,8,592
singlerowmajor-fp64,MpGEMM-Parallel,8,744
singlerowmajor-fp64,Accelerate-Serial,9,299
singlerowmajor-fp64,MpGEMM-Serial,9,381
singlerowmajor-fp64,Accelerate-Parallel,9,596
singlerowmajor-fp64,MpGEMM-Parallel,9,755
