# 2026-09-22 22:02:14 load before: { 3.93 6.82 7.10 }
# all row accel f32 beta=0
 0   512   512   512   1627
 0  1000  1000  1000   1704
 0  1024  1024  1024   1616
 0  2048  2048  2048   1554
 0  3000  3000  3000   1533
 0  4096  4096  4096   1580
 1    64  2112  7168   1120
 2    64 24576  1536    573
 3    64 32768   512    608
 4    64  7168 16384    619
 5    64  4096  7168    542
 6    64  7168  2048    630
 7   128  2112  7168   1304
 8   128 24576  1536    885
 9   128 32768   512    862
10   128  7168 16384    876
11   128  4096  7168    874
12   128  7168  2048    905
13  4096  2112  7168   1551
14  4096 24576  1536   1621
15  4096 32768   512   1532
16  4096  7168 16384   1495
17  4096  4096  7168   1494
18  4096  7168  2048   1649
19  4096   256  4096   1308
20 11008   256  4096   1382
21  4096   256 11008   1299
22  5120   256  5120   1384
23 13824   256  5120   1375
24  5120   256 13824   1382
# load after: { 4.73 6.82 7.09 }
