# 2026-09-22 22:23:15 load before: { 2.92 3.26 4.51 }
# all col accel f32 beta=1
 0   512   512   512   1705
 0  1000  1000  1000   1675
 0  1024  1024  1024   1520
 0  2048  2048  2048   1548
 0  3000  3000  3000   1463
 0  4096  4096  4096   1494
 1    64  2112  7168    858
 2    64 24576  1536    991
 3    64 32768   512    841
 4    64  7168 16384    820
 5    64  4096  7168    838
 6    64  7168  2048    946
 7   128  2112  7168   1156
 8   128 24576  1536   1195
 9   128 32768   512   1037
10   128  7168 16384   1100
11   128  4096  7168   1110
12   128  7168  2048   1177
13  4096  2112  7168   1429
14  4096 24576  1536   1477
15  4096 32768   512   1278
16  4096  7168 16384   1504
17  4096  4096  7168   1470
18  4096  7168  2048   1535
19  4096   256  4096   1149
20 11008   256  4096   1388
21  4096   256 11008   1093
22  5120   256  5120   1136
23 13824   256  5120   1322
24  5120   256 13824   1128
# load after: { 3.25 3.31 4.50 }
