# 2026-09-23 08:08:41 load before: { 2.40 2.72 2.98 } VECLIB_MAXIMUM_THREADS=default
# all col accel f32 beta=1
 0   512   512   512   2522
 0  1000  1000  1000   3345
 0  1024  1024  1024   2865
 0  2048  2048  2048   2858
 0  3000  3000  3000   2990
 0  4096  4096  4096   2750
 1    64  2112  7168   1745
 2    64 24576  1536   2068
 3    64 32768   512   1720
 4    64  7168 16384   1826
 5    64  4096  7168   1805
 6    64  7168  2048   1870
 7   128  2112  7168   2398
 8   128 24576  1536   2562
 9   128 32768   512   2172
10   128  7168 16384   2400
11   128  4096  7168   2384
12   128  7168  2048   2311
13  4096  2112  7168   2734
14  4096 24576  1536   3103
15  4096 32768   512   2698
16  4096  7168 16384   3028
17  4096  4096  7168   2909
18  4096  7168  2048   2970
19  4096   256  4096   2312
20 11008   256  4096   2824
21  4096   256 11008   2339
22  5120   256  5120   2340
23 13824   256  5120   2689
24  5120   256 13824   2372
# load after: { 2.75 2.78 3.00 }
