# 2026-09-23 08:10:49 load before: { 3.53 3.19 3.13 } VECLIB_MAXIMUM_THREADS=default
# all row accel f32 beta=0
 0   512   512   512   2834
 0  1000  1000  1000   3592
 0  1024  1024  1024   3163
 0  2048  2048  2048   3441
 0  3000  3000  3000   3329
 0  4096  4096  4096   2871
 1    64  2112  7168   2187
 2    64 24576  1536   1341
 3    64 32768   512   1371
 4    64  7168 16384   1403
 5    64  4096  7168   1333
 6    64  7168  2048   1326
 7   128  2112  7168   2881
 8   128 24576  1536   2004
 9   128 32768   512   1998
10   128  7168 16384   1950
11   128  4096  7168   1954
12   128  7168  2048   2108
13  4096  2112  7168   3163
14  4096 24576  1536   3649
15  4096 32768   512   3496
16  4096  7168 16384   3227
17  4096  4096  7168   2796
18  4096  7168  2048   3264
19  4096   256  4096   3066
20 11008   256  4096   3055
21  4096   256 11008   3170
22  5120   256  5120   3068
23 13824   256  5120   3041
24  5120   256 13824   3109
# load after: { 3.19 3.14 3.11 }
